,piece,|S|,repID,time
218,0,119,9,1.6086173057556152
219,0,119,10,1.5924208164215088
220,0,142,1,2.352189302444458
221,0,142,2,2.0929007530212402
222,0,142,3,2.000783920288086
223,0,142,4,2.284832000732422
224,0,142,5,2.1073050498962402
225,0,142,6,2.1087920665740967
226,0,142,7,2.3082809448242188
227,0,142,8,2.0890610218048096
228,0,142,9,2.0551748275756836
229,0,142,10,2.3302929401397705
230,0,170,1,2.804391860961914
231,0,170,2,2.7856767177581787
232,0,170,3,3.083799123764038
233,0,170,4,2.8304178714752197
234,0,170,5,2.9557528495788574
235,0,170,6,2.8096020221710205
236,0,170,7,2.8398420810699463
237,0,170,8,3.0247578620910645
238,0,170,9,2.746967077255249
239,0,170,10,3.0116469860076904
240,0,203,1,3.799320697784424
241,0,203,2,3.8172810077667236
242,0,203,3,3.7174127101898193
243,0,203,4,3.814816951751709
244,0,203,5,3.9937710762023926
245,0,203,6,3.825863838195801
246,0,203,7,3.92679500579834
247,0,203,8,3.7935171127319336
248,0,203,9,3.813382148742676
249,0,203,10,3.7934999465942383
250,0,242,1,5.201324939727783
251,0,242,2,5.242469072341919
252,0,242,3,4.866256952285767
253,0,242,4,5.205331087112427
254,0,242,5,5.110907793045044
255,0,242,6,5.334306001663208
256,0,242,7,4.931056261062622
257,0,242,8,5.228931903839111
258,0,242,9,4.902898788452148
259,0,242,10,5.017065048217773
260,0,289,1,7.028918981552124
261,0,289,2,6.823970079421997
262,0,289,3,7.025897979736328
263,0,289,4,7.056255102157593
264,0,289,5,6.820880889892578
265,0,289,6,6.952254056930542
266,0,289,7,6.938252210617065
267,0,289,8,6.838734149932861
268,0,289,9,6.938657999038696
269,0,289,10,6.915201902389526
270,0,345,1,9.711174964904785
271,0,345,2,9.235865831375122
272,0,345,3,9.498457670211792
273,0,345,4,9.627732992172241
274,0,345,5,9.644887924194336
275,0,345,6,9.633342981338501
276,0,345,7,9.36308217048645
277,0,345,8,9.490582942962646
278,0,345,9,9.763171911239624
279,0,345,10,10.420170068740845
280,0,412,1,15.691468238830566
281,0,412,2,20.128273963928223
282,0,412,3,18.00053310394287
283,0,412,4,14.036366939544678
284,0,412,5,13.425583124160767
285,0,412,6,13.321998119354248
286,0,412,7,12.821332931518555
287,0,412,8,13.350342273712158
288,0,412,9,12.801546812057495
289,0,412,10,12.94166612625122
290,0,492,1,17.851462841033936
291,0,492,2,18.042802095413208
292,0,492,3,17.93711495399475
293,0,492,4,17.81229329109192
294,0,492,5,17.96013593673706
295,0,492,6,18.0432071685791
296,0,492,7,18.037633180618286
297,0,492,8,18.139317989349365
298,0,492,9,18.146507024765015
299,0,492,10,18.260779857635498
300,0,587,1,29.942309141159058
301,0,587,2,59.83693480491638
302,0,587,3,25.032909154891968
303,0,587,4,25.09455633163452
304,0,587,5,27.533581256866455
305,0,587,6,26.005969285964966
306,0,587,7,24.988875150680542
307,0,587,8,25.273873805999756
308,0,587,9,24.812440872192383
309,0,587,10,24.71280312538147
310,0,701,1,34.849958181381226
311,0,701,2,34.39911198616028
312,0,701,3,34.64999294281006
313,0,701,4,35.06765627861023
314,0,701,5,34.59624910354614
315,0,701,6,34.808547019958496
316,0,701,7,34.63617014884949
317,0,701,8,34.10766386985779
318,0,701,9,33.77318978309631
319,0,701,10,33.511894941329956
320,0,837,1,46.55685591697693
321,0,837,2,46.79054617881775
322,0,837,3,47.292760133743286
323,0,837,4,51.47388410568237
324,0,837,5,52.51196312904358
325,0,837,6,49.91715717315674
326,0,837,7,47.463098764419556
327,0,837,8,46.715516805648804
328,0,837,9,47.05936002731323
329,0,837,10,47.30423021316528
330,0,1000,1,66.06205487251282
331,0,1000,2,65.99535393714905
332,0,1000,3,66.68788695335388
333,0,1000,4,66.4989800453186
334,0,1000,5,66.41229104995728
335,0,1000,6,66.75320982933044
336,0,1000,7,66.77127027511597
337,0,1000,8,66.6179678440094
338,0,1000,9,66.73305296897888
339,0,1000,10,66.57142186164856
340,76,1,1,0.015316009521484375
341,76,1,2,0.01311802864074707
342,76,1,3,0.012408971786499023
343,76,1,4,0.011978864669799805
344,76,1,5,0.011912107467651367
345,76,1,6,0.010526895523071289
346,76,1,7,0.01058197021484375
347,76,1,8,0.010516881942749023
348,76,1,9,0.01046895980834961
349,76,1,10,0.010577917098999023
350,76,2,1,0.025605201721191406
351,76,2,2,0.025754928588867188
352,76,2,3,0.023170948028564453
353,76,2,4,0.025729894638061523
354,76,2,5,0.024338960647583008
355,76,2,6,0.023707151412963867
356,76,2,7,0.02343893051147461
357,76,2,8,0.024396896362304688
358,76,2,9,0.02306985855102539
359,76,2,10,0.022387981414794922
360,76,3,1,0.037552833557128906
361,76,3,2,0.040352821350097656
362,76,3,3,0.0384981632232666
363,76,3,4,0.03813290596008301
364,76,3,5,0.036692142486572266
365,76,3,6,0.03472304344177246
366,76,3,7,0.03581404685974121
367,76,3,8,0.04163098335266113
368,76,3,9,0.035532236099243164
369,76,3,10,0.039353132247924805
370,76,4,1,0.05237078666687012
371,76,4,2,0.05270504951477051
372,76,4,3,0.05795407295227051
373,76,4,4,0.05193185806274414
374,76,4,5,0.051541805267333984
375,76,4,6,0.05370903015136719
