,method,rel_dev_obj,rel_dev_cstr,time,F_hat,rep,F_check
37,ULO,0.5,0.1,48.21387696266174,-94.49982028770403,0,-94.49982028770401
38,ULO,0.5,0.1,36.687894105911255,-94.49982028770403,1,-94.49982028770401
39,ULO,0.5,0.1,32.02162313461304,-94.49982028770403,2,-94.49982028770401
40,ULO,0.5,0.1,29.74524712562561,-94.49982028770403,3,-94.49982028770401
41,ULO,0.5,0.1,35.03202295303345,-94.49982028770403,4,-94.49982028770401
42,ULO,0.5,0.1,29.888416051864624,-94.49982028770403,5,-94.49982028770401
43,ULO,0.5,0.1,33.82728815078735,-94.49982028770403,6,-94.49982028770401
44,ULO,0.5,0.1,15.44808316230774,-94.49982028770403,7,-94.49982028770401
45,ULO,0.5,0.1,19.610509872436523,-94.49982028770403,8,-94.49982028770401
46,ULO,0.5,0.1,30.89800715446472,-94.49982028770403,9,-94.49982028770401
47,ES,0.5,0.1,2762.143738269806,-94.49982028770403,1,-94.49982028770403
48,bigM (direct),0.5,0.5,521.8475389480591,-87.45467835533361,1,-116.67089596270472
49,ULO,0.5,0.5,56.253259897232056,-87.61257527727473,0,-87.61257527727474
50,ULO,0.5,0.5,69.23732304573059,-87.61257527727473,1,-87.61257527727474
51,ULO,0.5,0.5,48.354583978652954,-87.61257527727473,2,-87.61257527727474
52,ULO,0.5,0.5,48.43306303024292,-87.61257527727473,3,-87.61257527727474
53,ULO,0.5,0.5,46.73370289802551,-87.61257527727473,4,-87.61257527727474
54,ULO,0.5,0.5,56.23510384559631,-87.61257527727473,5,-87.61257527727474
55,ULO,0.5,0.5,58.7689368724823,-87.61257527727473,6,-87.61257527727474
56,ULO,0.5,0.5,78.82852697372437,-87.61257527727473,7,-87.61257527727474
57,ULO,0.5,0.5,45.758466958999634,-87.61257527727473,8,-87.61529737583253
58,ULO,0.5,0.5,47.71943283081055,-87.61257527727473,9,-87.61257527727474
59,ES,0.5,0.5,2350.852963924408,-87.61257527727473,1,-87.61257527727473
60,bigM (direct),0.5,2.0,516.8693680763245,-82.02848659974087,1,-117.26947833738298
61,ULO,0.5,2.0,67.63908696174622,-83.47427956155461,0,-83.47427956155461
62,ULO,0.5,2.0,57.695510149002075,-83.47427956155461,1,-83.47427956155461
63,ULO,0.5,2.0,57.544108152389526,-83.47427956155461,2,-83.47427956155461
64,ULO,0.5,2.0,60.79754590988159,-83.47427956155461,3,-83.47427956155461
65,ULO,0.5,2.0,54.889479875564575,-83.47427956155461,4,-83.47427956155461
66,ULO,0.5,2.0,55.58534097671509,-83.47427956155461,5,-83.47427956155461
67,ULO,0.5,2.0,49.365442991256714,-83.47427956155461,6,-83.47427956155461
68,ULO,0.5,2.0,57.79583406448364,-83.47427956155461,7,-83.47427956155461
69,ULO,0.5,2.0,61.74437499046326,-83.47427956155461,8,-83.47427956155461
70,ULO,0.5,2.0,64.15204405784607,-83.47427956155461,9,-83.47427956155461
71,ES,0.5,2.0,2158.0392050743103,-83.47427956155461,1,-83.47427956155461
72,bigM (direct),1.0,0.1,516.3678851127625,-122.25695132056626,1,-173.28599933085601
73,ULO,1.0,0.1,25.72662591934204,-122.25675125563417,0,-122.2567512556342
74,ULO,1.0,0.1,14.442839860916138,-122.25675125563417,1,-122.2567512556342
75,ULO,1.0,0.1,7.2156150341033936,-122.25675125563417,2,-122.26361871223119
76,ULO,1.0,0.1,12.703294038772583,-122.25675125563417,3,-122.2567512556342
77,ULO,1.0,0.1,15.160905122756958,-122.25675125563417,4,-122.2567512556342
78,ULO,1.0,0.1,13.665244102478027,-122.25675125563417,5,-122.2567512556342
79,ULO,1.0,0.1,10.540555000305176,-122.25675125563417,6,-122.2567512556342
80,ULO,1.0,0.1,10.464217185974121,-122.25675125563417,7,-122.2567512556342
81,ULO,1.0,0.1,13.728011846542358,-122.25675125563417,8,-122.2567512556342
82,ULO,1.0,0.1,10.454100131988525,-122.25675125563417,9,-122.2567512556342
83,ES,1.0,0.1,2272.3094511032104,-122.25675125563417,1,-122.25675125563417
84,bigM (direct),1.0,0.5,517.3811509609222,-117.3053569694972,1,-173.28297980930245
85,ULO,1.0,0.5,76.84786701202393,-117.30534360982674,0,-117.3053436098267
86,ULO,1.0,0.5,56.869330167770386,-117.30534360982674,1,-117.3053436098267
87,ULO,1.0,0.5,32.744149923324585,-117.30534360982674,2,-117.3053436098267
88,ULO,1.0,0.5,55.71195697784424,-117.30534360982674,3,-117.3053436098267
89,ULO,1.0,0.5,29.477355003356934,-117.30534360982674,4,-117.3053436098267
90,ULO,1.0,0.5,30.386715173721313,-117.30534360982674,5,-117.3053436098267
91,ULO,1.0,0.5,47.7700719833374,-117.30534360982674,6,-117.3053436098267
92,ULO,1.0,0.5,23.34692096710205,-117.30534360982674,7,-117.3053436098267
93,ULO,1.0,0.5,60.04452991485596,-117.30534360982674,8,-117.3053436098267
94,ULO,1.0,0.5,23.542366981506348,-117.30534360982674,9,-117.3053436098267
95,ES,1.0,0.5,2380.230760574341,-117.30534360982674,1,-117.30534360982674
96,bigM (direct),1.0,2.0,516.4918761253357,-98.90015700521613,1,-156.2918568314307
97,ULO,1.0,2.0,313.83664894104004,-98.90016312365393,0,-98.90016312365393
98,ULO,1.0,2.0,425.6448380947113,-98.90016312365393,1,-98.90016312365393
99,ULO,1.0,2.0,297.8716170787811,-98.90016312365393,2,-98.90016312365393
100,ULO,1.0,2.0,314.0538082122803,-98.90016312365393,3,-98.90016312365393
101,ULO,1.0,2.0,278.5181851387024,-98.90016312365393,4,-98.90016312365393
102,ULO,1.0,2.0,410.3208830356598,-98.90016312365393,5,-98.90016312365393
103,ULO,1.0,2.0,300.8089249134064,-98.90016312365393,6,-98.90016312365393
104,ULO,1.0,2.0,314.05161595344543,-98.90016312365393,7,-98.90016312365393
105,ULO,1.0,2.0,316.59093499183655,-98.90016312365393,8,-98.90016312365393
106,ULO,1.0,2.0,301.2644672393799,-98.90016312365393,9,-98.90016312365393
107,ES,1.0,2.0,2209.740090370178,-98.90016312365393,1,-98.90016312365393
108,bigM (direct),5.0,0.1,516.5875461101532,-388.81982475294103,1,-521.0124620779254
109,ULO,5.0,0.1,28.03594183921814,-388.8172318015874,0,-388.81723180158747
110,ULO,5.0,0.1,12.867202043533325,-388.8172318015874,1,-388.81723180158747
111,ULO,5.0,0.1,14.811487436294556,-388.8172318015874,2,-388.81723180158747
112,ULO,5.0,0.1,15.183142185211182,-388.8172318015874,3,-388.81723180158747
113,ULO,5.0,0.1,16.276789903640747,-388.8172318015874,4,-388.81723180158747
114,ULO,5.0,0.1,12.939621210098267,-388.8172318015874,5,-388.81723180158747
115,ULO,5.0,0.1,12.898696184158325,-388.8172318015874,6,-388.81723180158747
116,ULO,5.0,0.1,13.710050106048584,-388.8172318015874,7,-388.81723180158747
117,ULO,5.0,0.1,15.11713695526123,-388.8172318015874,8,-388.81723180158747
118,ULO,5.0,0.1,16.126221895217896,-388.8172318015874,9,-388.81723180158747
119,ES,5.0,0.1,2253.2313323020935,-388.8172318015874,1,-388.8172318015874
120,bigM (direct),5.0,0.5,516.24556183815,-396.35556787849237,1,-568.2430164349321
121,ULO,5.0,0.5,115.31363677978516,-396.35554012536466,0,-396.3555401253647
122,ULO,5.0,0.5,104.70124697685242,-396.35554012536466,1,-396.3555401253647
123,ULO,5.0,0.5,113.06896495819092,-396.35554012536466,2,-396.3555401253647
124,ULO,5.0,0.5,118.2280068397522,-396.35554012536466,3,-396.3555401253647
125,ULO,5.0,0.5,77.94271802902222,-396.35554012536466,4,-396.3555401253647
126,ULO,5.0,0.5,121.96474599838257,-396.35554012536466,5,-396.3555401253647
127,ULO,5.0,0.5,114.32687211036682,-396.35554012536466,6,-396.3555401253647
128,ULO,5.0,0.5,185.9346079826355,-396.35554012536466,7,-396.3555401253647
129,ULO,5.0,0.5,126.93701410293579,-396.35554012536466,8,-396.3555401253647
130,ULO,5.0,0.5,109.56254625320435,-396.35554012536466,9,-396.3555401253647
131,ES,5.0,0.5,2310.4409408569336,-396.35554012536466,1,-396.35554012536466
132,bigM (direct),5.0,2.0,515.766804933548,-348.9765259812516,1,-561.9829618422494
133,ULO,5.0,2.0,2221.228266954422,-348.97647504501776,0,-348.9764750450179
134,ULO,5.0,2.0,2127.2947959899902,-348.97647504501776,1,-348.9764750450179
135,ULO,5.0,2.0,1889.243292093277,-348.97647504501776,2,-348.9764750450179
136,ULO,5.0,2.0,1839.5487160682678,-348.97647504501776,3,-348.9764750450179
137,ULO,5.0,2.0,2142.3231549263,-348.97647504501776,4,-348.9764750450179
138,ULO,5.0,2.0,1917.8552539348602,-348.97647504501776,5,-348.9764750450179
139,ULO,5.0,2.0,2277.697641134262,-348.97647504501776,6,-348.9764750450179
140,ULO,5.0,2.0,2473.5890049934387,-348.97647504501776,7,-348.9764750450179
141,ULO,5.0,2.0,2329.5238180160522,-348.97647504501776,8,-348.9764750450179
142,ULO,5.0,2.0,2412.405198097229,-348.97647504501776,9,-348.9764750450179
143,ES,5.0,2.0,2150.939028263092,-348.97647504501776,1,-348.97647504501776
144,bigM (direct),10.0,0.1,515.7663507461548,-776.3799551259435,1,-1075.2585849220231
145,ULO,10.0,0.1,72.33411908149719,-776.3795815727185,0,-776.3795815727186
146,ULO,10.0,0.1,33.2775399684906,-776.3795815727185,1,-776.3795815727186
147,ULO,10.0,0.1,70.78208684921265,-776.3795815727185,2,-776.3795815727186
148,ULO,10.0,0.1,51.67002487182617,-776.3795815727185,3,-776.3795815727186
149,ULO,10.0,0.1,43.42060422897339,-776.3795815727185,4,-776.3795815727186
150,ULO,10.0,0.1,63.36359691619873,-776.3795815727185,5,-776.3795815727186
151,ULO,10.0,0.1,51.98393511772156,-776.3795815727185,6,-776.3795815727186
152,ULO,10.0,0.1,63.69174766540527,-776.3795815727185,7,-776.3795815727186
153,ULO,10.0,0.1,62.47782921791077,-776.3795815727185,8,-776.3795815727186
154,ULO,10.0,0.1,38.124815940856934,-776.3795815727185,9,-776.3795815727186
155,ES,10.0,0.1,2331.0868620872498,-776.3795815727185,1,-776.3795815727185
156,bigM (direct),10.0,0.5,516.4358758926392,-722.5177720912021,1,-1038.317982504898
157,ULO,10.0,0.5,455.46602988243103,-722.6587380262984,0,-722.6587380262985
158,ULO,10.0,0.5,347.3211131095886,-722.6587380262984,1,-722.6587380262985
159,ULO,10.0,0.5,298.25509095191956,-722.6587380262984,2,-722.6587380262985
160,ULO,10.0,0.5,440.1807608604431,-722.6587380262984,3,-722.6587380262985
161,ULO,10.0,0.5,268.28638911247253,-722.6587380262984,4,-722.6587380262985
162,ULO,10.0,0.5,307.31158113479614,-722.6587380262984,5,-722.6587380262985
163,ULO,10.0,0.5,266.11522603034973,-722.6587380262984,6,-722.6587380262985
164,ULO,10.0,0.5,352.6060619354248,-722.6587380262984,7,-722.6587380262985
165,ULO,10.0,0.5,277.7651038169861,-722.6587380262984,8,-722.6587380262985
166,ULO,10.0,0.5,256.2299270629883,-722.6587380262984,9,-722.6587380262985
167,ES,10.0,0.5,2263.4370040893555,-722.6587380262984,1,-722.6587380262984
168,bigM (direct),10.0,2.0,518.5139198303223,-688.7901912941528,1,-1089.6897679727567
169,ULO,10.0,2.0,2735.5944612026215,-688.7898406634633,0,-688.7898406634635
170,ES,10.0,2.0,2450.47138,-688.7898406634633,1,-688.7898406634633
