,scenario,half_hat,K,rel_oracle_time,C_bar_size,num_min_loc,mult,varsigma_deg,upsilon,n,m
73,3,1.0,1.9641434262948207,0.011591875898856184,5363,301,0.5,0.002,5.0,500.0,10000.0
74,4,1.0,2.9800796812749004,0.019082615997291975,5381,309,0.5,0.002,5.0,500.0,10000.0
75,5,1.0,1.99601593625498,0.011003117462383418,5340,302,0.5,0.002,5.0,500.0,10000.0
76,6,1.0,1.9800796812749004,0.011286256393076621,5408,301,0.5,0.002,5.0,500.0,10000.0
77,7,1.0,2.9760956175298805,0.019217875363050276,5321,302,0.5,0.002,5.0,500.0,10000.0
78,8,1.0,3.9641434262948207,0.03158231618586563,5371,300,0.5,0.002,5.0,500.0,10000.0
79,9,1.0,1.9880478087649402,0.011302572664860922,5358,306,0.5,0.002,5.0,500.0,10000.0
80,0,1.0,1.904382470119522,0.021349653382184464,5391,19,0.5,0.02,5.0,500.0,10000.0
81,1,1.0,1.848605577689243,0.02040331341913862,5389,19,0.5,0.02,5.0,500.0,10000.0
82,2,1.0,3.266932270916335,0.03296578346480807,5361,21,0.5,0.02,5.0,500.0,10000.0
83,3,1.0,2.8725099601593627,0.02762438281514991,5374,21,0.5,0.02,5.0,500.0,10000.0
84,4,1.0,5.629482071713148,0.061077754011579714,5386,25,0.5,0.02,5.0,500.0,10000.0
85,5,1.0,1.848605577689243,0.020050516564625708,5353,21,0.5,0.02,5.0,500.0,10000.0
86,6,1.0,1.9641434262948207,0.019607563269016092,5397,23,0.5,0.02,5.0,500.0,10000.0
87,7,1.0,1.8964143426294822,0.02345026106027235,5330,13,0.5,0.02,5.0,500.0,10000.0
88,8,1.0,2.442231075697211,0.025007710546174594,5378,25,0.5,0.02,5.0,500.0,10000.0
89,9,1.0,2.8685258964143427,0.028212080346179405,5350,20,0.5,0.02,5.0,500.0,10000.0
90,0,1.0,2.99203187250996,0.0173801436531675,2316,477,0.5,0.0002,20.0,500.0,10000.0
91,1,1.0,1.99601593625498,0.00993287863625732,2296,476,0.5,0.0002,20.0,500.0,10000.0
92,2,1.0,1.99601593625498,0.009942770681527099,2292,476,0.5,0.0002,20.0,500.0,10000.0
93,3,1.0,3.864541832669323,0.02595798856409953,2301,476,0.5,0.0002,20.0,500.0,10000.0
94,4,1.0,2.99203187250996,0.01746251790983743,2291,477,0.5,0.0002,20.0,500.0,10000.0
95,5,1.0,2.9880478087649402,0.017341097411117497,2286,476,0.5,0.0002,20.0,500.0,10000.0
96,6,1.0,2.9880478087649402,0.017563023843716035,2289,476,0.5,0.0002,20.0,500.0,10000.0
97,7,1.0,2.0,0.009990718545864623,2299,476,0.5,0.0002,20.0,500.0,10000.0
98,8,1.0,1.99601593625498,0.009977836068735995,2311,476,0.5,0.0002,20.0,500.0,10000.0
99,9,1.0,2.0,0.009998824649576044,2306,476,0.5,0.0002,20.0,500.0,10000.0
100,0,1.0,1.9760956175298805,0.011587618012864976,2316,294,0.5,0.002,20.0,500.0,10000.0
